UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,FileName,SourceAgency,Layout,TransmissionDate,ReceivedDate,AuthorizationDate,ImportStatus,ImportedDate,ImportedBy,RecordCount,CasesCreated,LinesCreated,RequestersCreated,RequestersMatched,RecordsRejected,TrailerChecksum,ChecksumMatch,ImportLog,DocReaders,FileKey
F5D88989DF746966C9E132CDB58013DA,10322,,07/18/2013 06:07:59,07/18/2013 06:44:59,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20130718_6.txt,HRC_AWD_20130718_6.txt,HRC,HRC-FIXED,07/18/2013,07/18/2013 06:07:59,07/15/2013,Imported with Errors,07/18/2013 06:44:59,CN=HRC-Transfer/OU=Agents/O=TACOM,169,50,117,4,46,5,Yes,Yes,"07/18/2013 06:44 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;07/18/2013 06:44 50 case record(s), 117 award record(s);07/18/2013 06:44 5 record(s) rejected - see ImportLog detail;07/18/2013 06:44 Import finished: Imported with Errors",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20130718_6.TXT
FC0D11D5616CA83B16F43E641F59325A,10326,,02/06/2006 05:05:02,02/06/2006 06:08:02,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20060206_5.txt,HRC_AWD_20060206_5.txt,HRC,HRC-FIXED,02/06/2006,02/06/2006 05:05:02,02/05/2006,Rejected,02/06/2006 06:08:02,CN=HRC-Transfer/OU=Agents/O=TACOM,698,0,0,13,177,698,No,No,"02/06/2006 06:08 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;02/06/2006 06:08 190 case record(s), 506 award record(s);02/06/2006 06:08 698 record(s) rejected - see ImportLog detail;02/06/2006 06:08 Import finished: Rejected",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20060206_5.TXT
D38A43CE0B8408B19D1827FBFBD0DFF0,1032A,,10/05/2007 04:16:58,10/05/2007 05:43:58,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20071005_b11.dat,nprc_awd_20071005_b11.dat,NPRC,NPRC-DELIM,10/05/2007,10/05/2007 04:16:58,10/01/2007,Imported,10/05/2007 05:43:58,CN=HRC-Transfer/OU=Agents/O=TACOM,465,124,339,9,115,0,N/A,N/A,"10/05/2007 05:43 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;10/05/2007 05:43 124 case record(s), 339 award record(s);10/05/2007 05:43 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20071005_B11.DAT
B3102EA1228C40BCA5DFDE02F2B0CAEF,1032E,,11/11/2024 04:44:56,11/11/2024 04:58:56,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20241111_6.txt,HRC_AWD_20241111_6.txt,HRC,HRC-FIXED,11/11/2024,11/11/2024 04:44:56,11/09/2024,Imported,11/11/2024 04:58:56,CN=HRC-Transfer/OU=Agents/O=TACOM,28,8,18,0,8,0,Yes,Yes,"11/11/2024 04:58 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;11/11/2024 04:58 8 case record(s), 18 award record(s);11/11/2024 04:58 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20241111_6.TXT
95CDDF517641A32A3B55B4C335CEA058,10332,,01/29/2025 06:04:43,01/29/2025 07:23:43,CN=HRC-Transfer/OU=Agents/O=TACOM,,HRC_AWD_20250129_2.txt,HRC,HRC-FIXED,01/29/2025,01/29/2025 06:04:43,01/27/2025,Imported,01/29/2025 07:23:43,CN=HRC-Transfer/OU=Agents/O=TACOM,33,8,23,0,8,0,Yes,Yes,"01/29/2025 07:23 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;01/29/2025 07:23 8 case record(s), 23 award record(s);01/29/2025 07:23 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20250129_2.TXT
B588BC2760C2DF5F37BBCCA63B4EBAF2,10336,,03/21/2008 05:05:44,03/21/2008 06:04:44,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20080321_b43.dat,nprc_awd_20080321_b43.dat,NPRC,NPRC-DELIM,03/21/2008,03/21/2008 05:05:44,03/19/2008,Imported,03/21/2008 06:04:44,CN=HRC-Transfer/OU=Agents/O=TACOM,439,117,320,8,109,0,N/A,N/A,"03/21/2008 06:04 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;03/21/2008 06:04 117 case record(s), 320 award record(s);03/21/2008 06:04 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20080321_B43.DAT
71339AF8348E9B09895155FC4DFB6271,1033A,,11/26/2019 04:19:39,11/26/2019 05:02:39,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20191126_8.txt,HRC_AWD_20191126_8.txt,HRC,HRC-FIXED,11/26/2019,11/26/2019 04:19:39,11/21/2019,Imported,11/26/2019 05:02:39,CN=HRC-Transfer/OU=Agents/O=TACOM,76,19,55,1,18,0,Yes,Yes,"11/26/2019 05:02 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;11/26/2019 05:02 19 case record(s), 55 award record(s);11/26/2019 05:02 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20191126_8.TXT
30E3AE42E998940238DD9660852A823B,1033E,,04/17/2015 06:26:31,04/17/2015 07:41:31,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20150417_1.txt,HRC_AWD_20150417_1.txt,HRC,HRC-FIXED,04/17/2015,04/17/2015 06:26:31,04/12/2015,Imported with Errors,04/17/2015 07:41:31,CN=HRC-Transfer/OU=Agents/O=TACOM,131,35,94,2,33,4,Yes,Yes,"04/17/2015 07:41 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;04/17/2015 07:41 35 case record(s), 94 award record(s);04/17/2015 07:41 4 record(s) rejected - see ImportLog detail;04/17/2015 07:41 Import finished: Imported with Errors",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20150417_1.TXT
769119CEF712B314AF36BA6793EE2555,10342,,08/04/2010 05:48:47,08/04/2010 07:11:47,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20100804_b92.dat,nprc_awd_20100804_b92.dat,NPRC,NPRC-DELIM,08/04/2010,08/04/2010 05:48:47,08/03/2010,Imported,08/04/2010 07:11:47,CN=HRC-Transfer/OU=Agents/O=TACOM,338,91,245,5,86,0,N/A,N/A,"08/04/2010 07:11 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;08/04/2010 07:11 91 case record(s), 245 award record(s);08/04/2010 07:11 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20100804_B92.DAT
FE0CE406EFF134B2C7B515D6B4092292,10346,,12/12/2011 05:17:02,12/12/2011 05:24:02,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20111212_1.txt,HRC_AWD_20111212_1.txt,HRC,HRC-FIXED,12/12/2011,12/12/2011 05:17:02,12/08/2011,Imported,12/12/2011 05:24:02,CN=HRC-Transfer/OU=Agents/O=TACOM,259,69,188,7,62,0,Yes,Yes,"12/12/2011 05:24 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;12/12/2011 05:24 69 case record(s), 188 award record(s);12/12/2011 05:24 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20111212_1.TXT
7B747109B1C80ACDCB60C3056887EF3C,1034A,,06/17/2019 06:19:55,06/17/2019 07:46:55,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20190617_6.txt,HRC_AWD_20190617_6.txt,HRC,HRC-FIXED,06/17/2019,06/17/2019 06:19:55,06/13/2019,Imported,06/17/2019 07:46:55,CN=HRC-Transfer/OU=Agents/O=TACOM,100,26,72,3,23,0,Yes,Yes,"06/17/2019 07:46 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;06/17/2019 07:46 26 case record(s), 72 award record(s);06/17/2019 07:46 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20190617_6.TXT
4568DD20C8C2F14537448639C25DFBE4,1034E,,08/04/2025 04:13:24,08/04/2025 05:02:24,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20250804_b97.dat,nprc_awd_20250804_b97.dat,NPRC,NPRC-DELIM,08/04/2025,08/04/2025 04:13:24,08/03/2025,Imported,08/04/2025 05:02:24,CN=HRC-Transfer/OU=Agents/O=TACOM,99,26,71,1,25,0,N/A,N/A,"08/04/2025 05:02 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;08/04/2025 05:02 26 case record(s), 71 award record(s);08/04/2025 05:02 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20250804_B97.DAT
42F8F5E5720F433474821915657CAB17,10352,,08/14/2008 04:25:15,08/14/2008 05:40:15,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20080814_4.txt,HRC_AWD_20080814_4.txt,HRC,HRC-FIXED,08/14/2008,08/14/2008 04:25:15,08/09/2008,Imported,08/14/2008 05:40:15,CN=HRC-Transfer/OU=Agents/O=TACOM,321,89,230,4,85,0,Yes,Yes,"08/14/2008 05:40 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;08/14/2008 05:40 89 case record(s), 230 award record(s);08/14/2008 05:40 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20080814_4.TXT
34B15D3418476B223F197FC142191F0D,10356,,12/02/2021 04:51:59,12/02/2021 05:51:59,CN=HRC-Transfer/OU=Agents/O=TACOM,,HRC_AWD_20211202_9.txt,HRC,HRC-FIXED,12/02/2021,12/02/2021 04:51:59,11/28/2021,Imported,12/02/2021 05:51:59,CN=HRC-Transfer/OU=Agents/O=TACOM,48,12,34,1,11,0,Yes,Yes,"12/02/2021 05:51 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;12/02/2021 05:51 12 case record(s), 34 award record(s);12/02/2021 05:51 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20211202_9.TXT
2600B98B5F5D7A670A2E73AB0DD1AC34,1035A,,12/11/2007 06:34:55,12/11/2007 07:33:55,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20071211_b46.dat,nprc_awd_20071211_b46.dat,NPRC,NPRC-DELIM,12/11/2007,12/11/2007 06:34:55,12/10/2007,Imported with Errors,12/11/2007 07:33:55,CN=HRC-Transfer/OU=Agents/O=TACOM,477,131,344,13,118,5,N/A,N/A,"12/11/2007 07:33 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;12/11/2007 07:33 131 case record(s), 344 award record(s);12/11/2007 07:33 5 record(s) rejected - see ImportLog detail;12/11/2007 07:33 Import finished: Imported with Errors",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20071211_B46.DAT
23E59885830DCCA35CC8E8D4FEB42A49,1035E,,09/09/2013 04:36:23,09/09/2013 05:53:23,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20130909_2.txt,HRC_AWD_20130909_2.txt,HRC,HRC-FIXED,09/09/2013,09/09/2013 04:36:23,09/06/2013,Imported,09/09/2013 05:53:23,CN=HRC-Transfer/OU=Agents/O=TACOM,193,53,138,3,50,0,Yes,Yes,"09/09/2013 05:53 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;09/09/2013 05:53 53 case record(s), 138 award record(s);09/09/2013 05:53 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20130909_2.TXT
A6C1DB274F4E6D417EDA652A443EDE59,10362,,12/03/2012 05:52:24,12/03/2012 07:04:24,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20121203_9.txt,HRC_AWD_20121203_9.txt,HRC,HRC-FIXED,12/03/2012,12/03/2012 05:52:24,12/01/2012,Imported,12/03/2012 07:04:24,CN=HRC-Transfer/OU=Agents/O=TACOM,154,45,107,1,44,0,Yes,Yes,"12/03/2012 07:04 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;12/03/2012 07:04 45 case record(s), 107 award record(s);12/03/2012 07:04 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20121203_9.TXT
790FB726486581A2B552C7C50D232D0F,10366,,12/01/2025 06:25:56,12/01/2025 07:41:56,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20251201_b13.dat,nprc_awd_20251201_b13.dat,NPRC,NPRC-DELIM,12/01/2025,12/01/2025 06:25:56,11/29/2025,Imported,12/01/2025 07:41:56,CN=HRC-Transfer/OU=Agents/O=TACOM,53,15,36,0,15,0,N/A,N/A,"12/01/2025 07:41 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;12/01/2025 07:41 15 case record(s), 36 award record(s);12/01/2025 07:41 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20251201_B13.DAT
8EA90622769322E3BD86DBA31942479A,1036A,,02/17/2025 04:09:47,02/17/2025 05:32:47,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20250217_3.txt,HRC_AWD_20250217_3.txt,HRC,HRC-FIXED,02/17/2025,02/17/2025 04:09:47,02/13/2025,Imported,02/17/2025 05:32:47,CN=HRC-Transfer/OU=Agents/O=TACOM,43,12,29,0,12,0,Yes,Yes,"02/17/2025 05:32 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;02/17/2025 05:32 12 case record(s), 29 award record(s);02/17/2025 05:32 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20250217_3.TXT
AA8F701350F30AA47058FF8BF8A225C7,1036E,,11/25/2015 05:22:12,11/25/2015 06:36:12,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20151125_5.txt,HRC_AWD_20151125_5.txt,HRC,HRC-FIXED,11/25/2015,11/25/2015 05:22:12,11/22/2015,Imported,11/25/2015 06:36:12,CN=HRC-Transfer/OU=Agents/O=TACOM,153,42,109,5,37,0,Yes,Yes,"11/25/2015 06:36 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;11/25/2015 06:36 42 case record(s), 109 award record(s);11/25/2015 06:36 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20151125_5.TXT
DDC9BE54A08B46EFE98DCAF88D6D4271,10372,,08/10/2012 06:45:23,08/10/2012 07:09:23,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20120810_b62.dat,nprc_awd_20120810_b62.dat,NPRC,NPRC-DELIM,08/10/2012,08/10/2012 06:45:23,08/07/2012,Imported,08/10/2012 07:09:23,CN=HRC-Transfer/OU=Agents/O=TACOM,290,81,207,7,74,0,N/A,N/A,"08/10/2012 07:09 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;08/10/2012 07:09 81 case record(s), 207 award record(s);08/10/2012 07:09 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20120810_B62.DAT
152F06A5DB840312537175CF6AC6C285,10376,,06/21/2021 04:18:06,06/21/2021 05:38:06,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20210621_1.txt,HRC_AWD_20210621_1.txt,HRC,HRC-FIXED,06/21/2021,06/21/2021 04:18:06,06/16/2021,Imported with Errors,06/21/2021 05:38:06,CN=HRC-Transfer/OU=Agents/O=TACOM,84,25,57,2,23,4,Yes,Yes,"06/21/2021 05:38 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;06/21/2021 05:38 25 case record(s), 57 award record(s);06/21/2021 05:38 4 record(s) rejected - see ImportLog detail;06/21/2021 05:38 Import finished: Imported with Errors",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20210621_1.TXT
1145D9393107978AC24D160D07DE2CDC,1037A,,03/26/2018 05:10:42,03/26/2018 06:16:42,CN=HRC-Transfer/OU=Agents/O=TACOM,,HRC_AWD_20180326_6.txt,HRC,HRC-FIXED,03/26/2018,03/26/2018 05:10:42,03/21/2018,Imported,03/26/2018 06:16:42,CN=HRC-Transfer/OU=Agents/O=TACOM,98,27,69,4,23,0,Yes,Yes,"03/26/2018 06:16 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;03/26/2018 06:16 27 case record(s), 69 award record(s);03/26/2018 06:16 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20180326_6.TXT
163BA6CB1A49A66AB3A846CDFBCCFD8F,1037E,,04/01/2016 05:13:47,04/01/2016 05:51:47,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20160401_b51.dat,nprc_awd_20160401_b51.dat,NPRC,NPRC-DELIM,04/01/2016,04/01/2016 05:13:47,03/29/2016,Imported,04/01/2016 05:51:47,CN=HRC-Transfer/OU=Agents/O=TACOM,177,45,130,4,41,0,N/A,N/A,"04/01/2016 05:51 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;04/01/2016 05:51 45 case record(s), 130 award record(s);04/01/2016 05:51 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20160401_B51.DAT
56B260975C6AAAE85A01D5118BD4E82A,10382,,04/16/2009 04:26:48,04/16/2009 05:22:48,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20090416_2.txt,HRC_AWD_20090416_2.txt,HRC,HRC-FIXED,04/16/2009,04/16/2009 04:26:48,04/11/2009,Imported,04/16/2009 05:22:48,CN=HRC-Transfer/OU=Agents/O=TACOM,284,75,207,9,66,0,Yes,Yes,"04/16/2009 05:22 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;04/16/2009 05:22 75 case record(s), 207 award record(s);04/16/2009 05:22 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20090416_2.TXT
69265337EA1E42CCD7EB0846612B3888,10386,,10/31/2016 05:37:06,10/31/2016 06:01:06,CN=HRC-Transfer/OU=Agents/O=TACOM,HRC_AWD_20161031_7.txt,HRC_AWD_20161031_7.txt,HRC,HRC-FIXED,10/31/2016,10/31/2016 05:37:06,10/30/2016,Imported,10/31/2016 06:01:06,CN=HRC-Transfer/OU=Agents/O=TACOM,101,30,69,2,28,0,Yes,Yes,"10/31/2016 06:01 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;10/31/2016 06:01 30 case record(s), 69 award record(s);10/31/2016 06:01 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,HRC_AWD_20161031_7.TXT
758157BC6765A46D78118402F214C5ED,1038A,,07/20/2026 05:12:24,07/20/2026 06:02:24,CN=HRC-Transfer/OU=Agents/O=TACOM,nprc_awd_20260720_b47.dat,nprc_awd_20260720_b47.dat,NPRC,NPRC-DELIM,07/20/2026,07/20/2026 05:12:24,07/16/2026,Imported,07/20/2026 06:02:24,CN=HRC-Transfer/OU=Agents/O=TACOM,9,2,5,0,2,0,N/A,N/A,"07/20/2026 06:02 Import started by CN=HRC-Transfer/OU=Agents/O=TACOM;07/20/2026 06:02 2 case record(s), 5 award record(s);07/20/2026 06:02 Import finished: Imported",[Importer];[Admin];[TACOM];[ReadOnlyAudit];LocalDomainServers,NPRC_AWD_20260720_B47.DAT
