UNID,NoteID,ParentUNID,Created,Modified,LastUpdatedBy,Attachments,RequesterKey,Name,Rank,DODAAC,UIC,UnitName,Role,Phone,Email,CreatedDate,LookupKey
8903820E8AB52861D3103837047E76BA,B32,,12/19/2005 12:00:42,12/19/2005 12:00:42,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WJMM59~r.northway,Ryan Northway,2LT,WJMM59,WT44KA,"3rd Infantry Brigade Combat Team, 10th Mountain Division",Supply Sergeant,(484) 555-1411,ryan.northway.mil@example.mil,12/19/2005,WJMM59~R.NORTHWAY
24C7B23C56782AA9FA7DBEC87D06E794,B36,,06/09/2018 12:32:36,06/09/2018 12:32:36,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W351T4~j.pemberley,James Pemberley,SFC,W351T4,WHNH8A,3rd U.S. Infantry Regiment (The Old Guard),Property Book Officer,(410) 555-1105,james.pemberley.mil@example.mil,06/09/2018,W351T4~J.PEMBERLEY
3B31B07A4641540255A3934E3B432F88,B3A,,05/23/2005 12:27:04,05/23/2005 12:27:04,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W3HFA3~c.norquist,Carol Norquist,CPT,W3HFA3,W4PPHA,28th Infantry Division (Pennsylvania Army National Guard),Protocol Officer,(267) 555-1091,carol.norquist.mil@example.mil,05/23/2005,W3HFA3~C.NORQUIST
2819B5C248ACF51FB90DD1E8D17E9801,B3E,,10/28/2010 09:59:53,10/28/2010 09:59:53,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W3JPW6~j.hollinbeck,Jennifer Hollinbeck,MAJ,W3JPW6,WQDL80,"2nd Armored Brigade Combat Team, 1st Cavalry Division",Unit Commander,(215) 555-1134,jennifer.hollinbeck.mil@example.mil,10/28/2010,W3JPW6~J.HOLLINBECK
9FCA2DBDB06FDD6E23DAE458F22AB68C,B42,,08/31/2020 15:52:58,08/31/2020 15:52:58,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WG43NM~c.stroudmoor,Carol Stroudmoor,CW2,WG43NM,W5XU10,20th Engineer Brigade (Combat) (Airborne),Supply Sergeant,(717) 555-1290,carol.stroudmoor.mil@example.mil,08/31/2020,WG43NM~C.STROUDMOOR
103400B1CC1DD8C8217521CB01E69767,B46,,08/20/2020 14:14:55,08/20/2020 14:14:55,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WQB1WS~s.castellanos,Sarah Castellanos,SGT,WQB1WS,W4LVU0,41st Field Artillery Brigade,Other,(410) 555-1359,sarah.castellanos.mil@example.mil,08/20/2020,WQB1WS~S.CASTELLANOS
38EB252FBDCFB70C540445D8E24458DB,B4A,,06/04/2025 13:15:23,06/04/2025 13:15:23,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WSL7SS~a.delgadillo,Anthony Delgadillo,CW2,WSL7SS,W72TJ0,32nd Army Air and Missile Defense Command,Supply Sergeant,(267) 555-1069,anthony.delgadillo.mil@example.mil,06/04/2025,WSL7SS~A.DELGADILLO
85284921B706F960524E5078C14240CF,B4E,,06/30/2026 07:42:33,06/30/2026 07:42:33,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WSPEAM~c.ahlquist,Christopher Ahlquist-Bane,CW2,WSPEAM,WLS87A,4th Infantry Division Sustainment Brigade,Other,(267) 555-1374,christopher.ahlquist.mil@example.mil,06/30/2026,WSPEAM~C.AHLQUIST
02E20FA15C513D919EC0BAF6A345EB2A,B52,,12/06/2021 12:33:56,12/06/2021 12:33:56,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WXYU7G~g.greaves,Gary Greaves-Tolan,2LT,WXYU7G,WHG29A,"2nd Infantry Brigade Combat Team, 25th Infantry Division",Executive Officer,(267) 555-1098,gary.greaves.mil@example.mil,12/06/2021,WXYU7G~G.GREAVES
66BFBC58A58E9CEE17B33CA887D38C6F,B56,,07/28/2014 17:49:50,07/28/2014 17:49:50,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W3Z4SG~h.ostrowski,Helen Ostrowski-Lane,MAJ,W3Z4SG,WQZP2A,18th Field Artillery Brigade,S4,(717) 555-1262,helen.ostrowski.mil@example.mil,07/28/2014,W3Z4SG~H.OSTROWSKI
28284B3C06F6F5D00428C7097725A503,B5A,,01/31/2019 09:16:21,01/31/2019 09:16:21,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WVUTXQ~l.underhill,Luis Underhill-Voss,CW2,WVUTXQ,W0QRDA,17th Field Artillery Brigade,Unit Commander,(610) 555-1168,luis.underhill.mil@example.mil,01/31/2019,WVUTXQ~L.UNDERHILL
96A067E41CBBE0F7B8765BE72849B2F0,B5E,,12/24/2004 08:38:29,12/24/2004 08:38:29,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W3HFA3~k.zimmerly,Karen Zimmerly,MSG,W3HFA3,W4PPHA,28th Infantry Division (Pennsylvania Army National Guard),S4,(610) 555-1755,karen.zimmerly.mil@example.mil,12/24/2004,W3HFA3~K.ZIMMERLY
3CD88CEB20D5731BE4DE6C1A3E729705,B62,,08/09/2025 07:13:48,08/09/2025 07:13:48,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WH3P1L~d.thornbury,Darnell Thornbury,GS-09,WH3P1L,W0G1Y0,U.S. Army Human Resources Command,Property Book Officer,(610) 555-1263,darnell.thornbury.mil@example.mil,08/09/2025,WH3P1L~D.THORNBURY
5C6F45CC8999BB19BC42FB364E54D527,B66,,10/23/2009 12:03:12,10/23/2009 12:03:12,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W53EJL~m.fairweather,Michael Fairweather,SFC,W53EJL,WTDFEA,U.S. Army Sustainment Command,S4,(717) 555-1523,michael.fairweather.mil@example.mil,10/23/2009,W53EJL~M.FAIRWEATHER
BFE3F6204BCA085982146DEB2E376585,B6A,,01/27/2017 15:31:56,01/27/2017 15:31:56,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W8YAN7~j.quimbley,Jeffrey Quimbley,MAJ,W8YAN7,W65260,"3rd Armored Brigade Combat Team, 4th Infantry Division",Supply Sergeant,(610) 555-1778,jeffrey.quimbley.mil@example.mil,01/27/2017,W8YAN7~J.QUIMBLEY
250D824A10047F2B84A872DD9B4968B4,B6E,,11/29/2015 08:32:31,11/29/2015 08:32:31,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,W4FZXV~t.ostrowski,Thomas Ostrowski-Lane,SGT,W4FZXV,WU0RUA,U.S. Army Special Operations Command,Supply Sergeant,(717) 555-1220,thomas.ostrowski.mil@example.mil,11/29/2015,W4FZXV~T.OSTROWSKI
1AC44E92917B11298A6AFB6EFCED4BFC,B72,,02/09/2023 14:21:56,02/09/2023 14:21:56,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WAY862~s.jessup,Stephanie Jessup-Kane,MAJ,WAY862,WZV67A,12th Combat Aviation Brigade,Executive Officer,(856) 555-1498,stephanie.jessup.mil@example.mil,02/09/2023,WAY862~S.JESSUP
1B0C8D6570F81E8A0835F602CB4695CD,B76,,04/25/2012 11:46:41,04/25/2012 11:46:41,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WMPNRL~b.gastrelle,Brian Gastrelle,1LT,WMPNRL,W634H0,"1st Stryker Brigade Combat Team, 2nd Infantry Division",Property Book Officer,(610) 555-1069,brian.gastrelle.mil@example.mil,04/25/2012,WMPNRL~B.GASTRELLE
639E6119391C94FC73759C8638269090,B7A,,05/21/2016 10:42:35,05/21/2016 10:42:35,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WGHC22~j.jarvinen,Jamal Jarvinen-Roe,1SG,WGHC22,WQB57A,"2nd Stryker Brigade Combat Team, 2nd Infantry Division",S4,(215) 555-1450,jamal.jarvinen.mil@example.mil,05/21/2016,WGHC22~J.JARVINEN
5C6BB124395A5AD34F697355A13F8B10,B7E,,06/17/2018 13:55:48,06/17/2018 13:55:48,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WJW2AJ~r.norquist,Raymond Norquist,1LT,WJW2AJ,WEN32A,13th Armored Corps Sustainment Command,Executive Officer,(717) 555-1570,raymond.norquist.mil@example.mil,06/17/2018,WJW2AJ~R.NORQUIST
095E164AB5652DBAE772648A0E690601,B82,,04/05/2024 10:38:50,04/05/2024 10:38:50,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W02D75~r.tarquinio,Ruth Tarquinio,MSG,W02D75,WZQ3WA,29th Infantry Division (Virginia Army National Guard),S4,(410) 555-1967,ruth.tarquinio.mil@example.mil,04/05/2024,W02D75~R.TARQUINIO
A1C4BAF8334CB16BA4E568CC86CB765C,B86,,10/11/2017 16:22:59,10/11/2017 16:22:59,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WTM604~a.benavidez,Arthur Benavidez-Cruz,MAJ,WTM604,W85WKA,U.S. Army Training and Doctrine Command,Unit Commander,(703) 555-1127,arthur.benavidez.mil@example.mil,10/11/2017,WTM604~A.BENAVIDEZ
2E71B08937704944A52AE7B12FAD2B4E,B8A,,03/20/2024 13:03:50,03/20/2024 13:03:50,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WA1PJJ~h.saldivar,Hector Saldivar,GS-11,WA1PJJ,W17FJA,75th Field Artillery Brigade,S4,(215) 555-1446,hector.saldivar.mil@example.mil,03/20/2024,WA1PJJ~H.SALDIVAR
BE9F8B4E4A9C19266ABB1A49FA480D4B,B8E,,03/21/2023 11:49:48,03/21/2023 11:49:48,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W60RK6~w.yarrowdale,Walter Yarrowdale,GS-11,W60RK6,WY08M0,25th Combat Aviation Brigade,Protocol Officer,(703) 555-1151,walter.yarrowdale.mil@example.mil,03/21/2023,W60RK6~W.YARROWDALE
E7369B5ECD3D68C5134BAEBCEC010D36,B92,,06/20/2015 13:45:54,06/20/2015 13:45:54,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WHVUZQ~s.isherwood,Sarah Isherwood,GS-11,WHVUZQ,WB6EMA,Fires Center of Excellence,Property Book Officer,(717) 555-1572,sarah.isherwood.mil@example.mil,06/20/2015,WHVUZQ~S.ISHERWOOD
90DDCC07F976764135312CC24F603FD6,B96,,01/23/2013 15:45:17,01/23/2013 15:45:17,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W5TEG5~b.iverstone,Betty Iverstone,GS-09,W5TEG5,WJDE4A,"2nd Armored Brigade Combat Team, 1st Infantry Division",S4,(856) 555-1215,betty.iverstone.mil@example.mil,01/23/2013,W5TEG5~B.IVERSTONE
ECB8B2858130EC206BAF3903A77DBEFB,B9A,,02/13/2018 15:38:37,02/13/2018 15:38:37,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WMPNRL~w.jessup,William Jessup-Kane,GS-11,WMPNRL,W634H0,"1st Stryker Brigade Combat Team, 2nd Infantry Division",Executive Officer,(610) 555-1655,william.jessup.mil@example.mil,02/13/2018,WMPNRL~W.JESSUP
876138CDAE6881E5DD3A3AAD08F81040,B9E,,07/27/2019 16:59:48,07/27/2019 16:59:48,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WFTYWM~b.galbreath,Brandon Galbreath,CPT,WFTYWM,WR84JA,412th Theater Engineer Command (Army Reserve),Supply Sergeant,(410) 555-1528,brandon.galbreath.mil@example.mil,07/27/2019,WFTYWM~B.GALBREATH
823377B9553D3077DA75EA95FEA4D606,BA2,,03/23/2015 17:31:09,03/23/2015 17:31:09,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WEMDTS~s.kestleman,Sandra Kestleman,SGT,WEMDTS,WVSGSA,56th Stryker Brigade Combat Team (Pennsylvania Army National Guard),Executive Officer,(703) 555-1320,sandra.kestleman.mil@example.mil,03/23/2015,WEMDTS~S.KESTLEMAN
02DCBE3E46AFC6F5A61C3B8CC059E961,BA6,,03/08/2006 17:57:28,03/08/2006 17:57:28,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WX8FA6~l.altamirano,Linda Altamirano-Diaz,SGT,WX8FA6,WW8YBA,1st Special Forces Group (Airborne),S4,(302) 555-1367,linda.altamirano.mil@example.mil,03/08/2006,WX8FA6~L.ALTAMIRANO
CD997BD1C2AAC4AE31CF38B312FFC8AB,BAA,,10/22/2024 16:06:37,10/22/2024 16:06:37,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WGDZ6P~b.lockridge,Betty Lockridge,CW2,WGDZ6P,WHDZFA,35th Signal Brigade,Unit Commander,(717) 555-1824,betty.lockridge.mil@example.mil,10/22/2024,WGDZ6P~B.LOCKRIDGE
BB17000F7DA617FC6C566DAE9E8A31E1,BAE,,07/06/2004 17:41:25,07/06/2004 17:41:25,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W06EHL~j.ostrowski,Jose Ostrowski-Lane,CW2,W06EHL,W0V2G0,U.S. Army Materiel Command,Other,(484) 555-1043,jose.ostrowski.mil@example.mil,07/06/2004,W06EHL~J.OSTROWSKI
88FDB2D4914BDC17BD79446F74AE6804,BB2,,11/27/2023 13:18:39,11/27/2023 13:18:39,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WFTYWM~m.greaves,Melissa Greaves-Tolan,2LT,WFTYWM,WR84JA,412th Theater Engineer Command (Army Reserve),Unit Commander,(540) 555-1600,melissa.greaves.mil@example.mil,11/27/2023,WFTYWM~M.GREAVES
3F312D2736D0D67D29DE1B7C68C93701,BB6,,12/24/2012 08:43:02,12/24/2012 08:43:02,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WFTYWM~a.fairweather,Amanda Fairweather,1LT,WFTYWM,WR84JA,412th Theater Engineer Command (Army Reserve),Executive Officer,(610) 555-1225,amanda.fairweather.mil@example.mil,12/24/2012,WFTYWM~A.FAIRWEATHER
1348303F8D04489A572D76A8D7642C2F,BBA,,07/24/2023 09:24:04,07/24/2023 09:24:04,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WH3P1L~l.oakhurst,Linda Oakhurst-Pell,1SG,WH3P1L,W0G1Y0,U.S. Army Human Resources Command,Executive Officer,(703) 555-1476,linda.oakhurst.mil@example.mil,07/24/2023,WH3P1L~L.OAKHURST
491E3E470CF31BF9AA86F22BCE75990E,BBE,,01/01/2016 12:30:30,01/01/2016 12:30:30,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WJMM59~s.dellacroix,Susan Dellacroix,CPT,WJMM59,WT44KA,"3rd Infantry Brigade Combat Team, 10th Mountain Division",Supply Sergeant,(540) 555-1549,susan.dellacroix.mil@example.mil,01/01/2016,WJMM59~S.DELLACROIX
456A8A2E50752879E7858E5DC4318B68,BC2,,11/22/2025 08:37:52,11/22/2025 08:37:52,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WS36CV~d.mackelvane,David Mackelvane,CW2,WS36CV,WE4TTA,XVIII Airborne Corps Headquarters and Headquarters Battalion,Other,(302) 555-1580,david.mackelvane.mil@example.mil,11/22/2025,WS36CV~D.MACKELVANE
E00C37810BFFC2679758623284AA8FCF,BC6,,03/27/2025 07:56:00,03/27/2025 07:56:00,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WUB92Z~r.sallisaw,Ralph Sallisaw,CPT,WUB92Z,WJ25M0,U.S. Army Forces Command,S4,(856) 555-1966,ralph.sallisaw.mil@example.mil,03/27/2025,WUB92Z~R.SALLISAW
AEE8D91E1A61E951A45F16A521D33611,BCA,,11/25/2011 08:13:02,11/25/2011 08:13:02,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WB6MMZ~r.yellowley,Ruth Yellowley,1SG,WB6MMZ,W1PBUA,3rd Special Forces Group (Airborne),Unit Commander,(540) 555-1874,ruth.yellowley.mil@example.mil,11/25/2011,WB6MMZ~R.YELLOWLEY
6E60B15B2A766B5BCB3D6BF99352F043,BCE,,09/02/2016 16:30:48,09/02/2016 16:30:48,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WJMJXA~j.xanthopoulos,James Xanthopoulos,GS-11,WJMJXA,W4RSJA,35th Air Defense Artillery Brigade,Other,(215) 555-1131,james.xanthopoulos.mil@example.mil,09/02/2016,WJMJXA~J.XANTHOPOULOS
192322E4E0798BDDFCE70E8C8BA1C34C,BD2,,02/20/2005 12:51:56,02/20/2005 12:51:56,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WAWUE2~h.stanwycke,Howard Stanwycke,CW2,WAWUE2,WB489A,11th Air Defense Artillery Brigade,Property Book Officer,(703) 555-1485,howard.stanwycke.mil@example.mil,02/20/2005,WAWUE2~H.STANWYCKE
CF2AE933D116C5B0B4FF7AA5A6ECF0B0,BD6,,08/17/2026 11:04:24,08/17/2026 11:04:24,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WR3QJ7~n.yellowley,Norman Yellowley,CW2,WR3QJ7,WMP99A,"2nd Infantry Brigade Combat Team, 11th Airborne Division",Executive Officer,(717) 555-1283,norman.yellowley.mil@example.mil,08/17/2026,WR3QJ7~N.YELLOWLEY
69D3E4A19064E2E274E3124CA3E7A4EB,BDA,,11/22/2025 08:22:01,11/22/2025 08:22:01,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,W3HUF4~m.montgomerie,Matthew Montgomerie,SFC,W3HUF4,WMZ09A,Aviation Center of Excellence,Supply Sergeant,(302) 555-1780,matthew.montgomerie.mil@example.mil,11/22/2025,W3HUF4~M.MONTGOMERIE
2886203C7DCEF5071FA526ACE8E5C631,BDE,,11/02/2009 16:12:20,11/02/2009 16:12:20,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WVLFGZ~a.washington,Angela Washington-Pryce,1LT,WVLFGZ,WEKP2A,Intelligence Center of Excellence,Unit Commander,(717) 555-1250,angela.washington.mil@example.mil,11/02/2009,WVLFGZ~A.WASHINGTON
BC9E66BD7CDAD3431094E4999D27123D,BE2,,12/23/2007 17:01:58,12/23/2007 17:01:58,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,WB1YZF~h.okonkwo,Helen Okonkwo-Bell,GS-09,WB1YZF,WG0UVA,"2nd Infantry Brigade Combat Team, 10th Mountain Division",Supply Sergeant,(215) 555-1727,helen.okonkwo.mil@example.mil,12/23/2007,WB1YZF~H.OKONKWO
E303DE38EB2361A3C0247A2C766495F1,BE6,,07/30/2023 16:01:37,07/30/2023 16:01:37,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WGPVZG~b.palomares,Barbara Palomares,1LT,WGPVZG,W5T4LA,1st Information Operations Command (Land),Protocol Officer,(484) 555-1566,barbara.palomares.mil@example.mil,07/30/2023,WGPVZG~B.PALOMARES
5C0422745E5FB113C6DE8E7A0F8A0C1F,BEA,,11/30/2006 16:33:44,11/30/2006 16:33:44,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,W5KNYG~m.coldwater,Margaret Coldwater,1LT,W5KNYG,W08YQ0,"1st Armored Brigade Combat Team, 1st Infantry Division",Unit Commander,(717) 555-1306,margaret.coldwater.mil@example.mil,11/30/2006,W5KNYG~M.COLDWATER
B0910DD00A74F7A72430D86A5E8FB609,BEE,,11/05/2025 11:51:02,11/05/2025 11:51:02,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WR3QJ7~j.northway,Joshua Northway,1LT,WR3QJ7,WMP99A,"2nd Infantry Brigade Combat Team, 11th Airborne Division",Property Book Officer,(610) 555-1797,joshua.northway.mil@example.mil,11/05/2025,WR3QJ7~J.NORTHWAY
55F1732EAD9BD0A8D03AE51BFB8415DB,BF2,,10/13/2016 13:47:16,10/13/2016 13:47:16,CN=Dwayne Petrakis/OU=CHPSID/O=TACOM,,WYEX1M~e.jaramillo,Earl Jaramillo,MAJ,WYEX1M,WN6YE0,3rd Combat Aviation Brigade,Other,(610) 555-1725,earl.jaramillo.mil@example.mil,10/13/2016,WYEX1M~E.JARAMILLO
4A8DD1FD3284BAD4F66C44827035DB9B,BF6,,03/28/2024 08:33:42,03/28/2024 08:33:42,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,WA1PJJ~j.rathbourne,Jamal Rathbourne,2LT,WA1PJJ,W17FJA,75th Field Artillery Brigade,Property Book Officer,(215) 555-1812,jamal.rathbourne.mil@example.mil,03/28/2024,WA1PJJ~J.RATHBOURNE
28FC44237CD72036C7619216E835BCC9,BFA,,06/26/2012 12:22:53,06/26/2012 12:22:53,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W351T4~a.gastrelle,Angela Gastrelle,MAJ,W351T4,WHNH8A,3rd U.S. Infantry Regiment (The Old Guard),Property Book Officer,(410) 555-1644,angela.gastrelle.mil@example.mil,06/26/2012,W351T4~A.GASTRELLE
EC4DB66898C212AC34A01A073A2450C9,BFE,,12/04/2011 07:45:04,12/04/2011 07:45:04,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WUB92Z~s.underhill,Sarah Underhill-Voss,2LT,WUB92Z,WJ25M0,U.S. Army Forces Command,Protocol Officer,(717) 555-1522,sarah.underhill.mil@example.mil,12/04/2011,WUB92Z~S.UNDERHILL
D1E4C0FAA7774B741010E43A09AAD9F2,C02,,12/30/2013 14:39:51,12/30/2013 14:39:51,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WA1PJJ~t.gastrelle,Thomas Gastrelle,SSG,WA1PJJ,W17FJA,75th Field Artillery Brigade,S4,(703) 555-1678,thomas.gastrelle.mil@example.mil,12/30/2013,WA1PJJ~T.GASTRELLE
9B894FC5DE7A0B259A2FB8BDA82DE3D8,C06,,07/10/2009 10:41:00,07/10/2009 10:41:00,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W60RK6~t.escobedo,Tyler Escobedo-Ruiz,CPT,W60RK6,WY08M0,25th Combat Aviation Brigade,Supply Sergeant,(717) 555-1126,tyler.escobedo.mil@example.mil,07/10/2009,W60RK6~T.ESCOBEDO
06DB8C1C8A9420B75E9212EB2EAF5F79,C0A,,10/17/2017 09:19:07,10/17/2017 09:19:07,CN=Lorraine Whitcombe/OU=CHPSID/O=TACOM,,W4FZXV~d.wexcombe,Daniel Wexcombe,GS-09,W4FZXV,WU0RUA,U.S. Army Special Operations Command,Protocol Officer,(610) 555-1883,daniel.wexcombe.mil@example.mil,10/17/2017,W4FZXV~D.WEXCOMBE
0DE909E57E0EC35415F5C5D289DAF92D,C0E,,12/10/2024 16:21:55,12/10/2024 16:21:55,CN=Theodore Blankenship/OU=TroopSupport/O=DLA,,WFC6YB~r.isherwood,Richard Isherwood,SGT,WFC6YB,WGRMU0,3rd Cavalry Regiment,Unit Commander,(703) 555-1048,richard.isherwood.mil@example.mil,12/10/2024,WFC6YB~R.ISHERWOOD
5D04C485B443767FFFB03791FCF0C4C7,C12,,04/23/2004 13:30:06,04/23/2004 13:30:06,CN=Ret Hamlin/OU=CHPSID/O=TACOM,,W351T4~s.prendergast,Stephanie Prendergast,1SG,W351T4,WHNH8A,3rd U.S. Infantry Regiment (The Old Guard),Property Book Officer,(215) 555-1504,stephanie.prendergast.mil@example.mil,04/23/2004,W351T4~S.PRENDERGAST
